"SUBJID","COUNTRY_SELF"
44375,"Spain"
22351,"Spain"
4410,"Spain"
11117,"Spain"
38486,"Spain"
41564,"Spain"
36248,"Spain"
30588,"Spain"
38028,"Spain"
35557,"Spain"
22393,"Spain"
39478,"Spain"
19649,"Spain"
31461,"Spain"
40770,"Spain"
11200,"Spain"
6042,"Spain"
20515,"Spain"
49152,"Spain"
32261,"Spain"
39272,"Spain"
11175,"Spain"
34501,"Spain"
36797,"Spain"
11315,"Spain"
25815,"Spain"
11377,"Spain"
25629,"Spain"
38387,"Spain"
8767,"Spain"
8635,"Spain"
32520,"Spain"
3762,"Spain"
27321,"Spain"
44577,"Spain"
20235,"Spain"
18027,"Spain"
1104,"Spain"
15324,"Spain"
15121,"Spain"
28963,"Spain"
40855,"Spain"
29617,"Spain"
5591,"Spain"
12807,"Spain"
29335,"Spain"
31454,"Spain"
47276,"Spain"
41362,"Spain"
28561,"Spain"
1132,"Spain"
49033,"Spain"
44821,"Spain"
45505,"Spain"
15742,"Spain"
36370,"Spain"
40813,"Spain"
23201,"Sweden"
1143,"Sweden"
5358,"Sweden"
18326,"Sweden"
5950,"Sweden"
3076,"Sweden"
46908,"Sweden"
30946,"Sweden"
30678,"Sweden"
41547,"Sweden"
44708,"Swiss French"
8259,"Swiss French"
12290,"Swiss French"
14465,"Swiss French"
6548,"Swiss French"
26290,"Swiss French"
18940,"Swiss French"
33986,"Swiss French"
16887,"Swiss French"
45577,"Swiss French"
31489,"Swiss French"
45922,"Swiss French"
3679,"Swiss French"
3042,"Swiss French"
6652,"Swiss French"
6424,"Swiss French"
37532,"Swiss French"
6283,"Swiss French"
12691,"Swiss French"
8010,"Swiss French"
41338,"Swiss French"
3579,"Swiss French"
49206,"Swiss French"
42981,"Swiss French"
20834,"Swiss French"
30973,"Swiss French"
44987,"Swiss French"
13299,"Swiss French"
3735,"Swiss French"
19336,"Swiss French"
941,"Swiss French"
6247,"Swiss French"
21106,"Swiss French"
34344,"Swiss French"
39844,"Swiss French"
29490,"Swiss French"
3499,"Swiss French"
10058,"Swiss French"
37578,"Swiss French"
25418,"Swiss French"
11898,"Swiss French"
4374,"Swiss French"
19139,"Swiss French"
27115,"Swiss French"
43385,"Swiss French"
45812,"Swiss French"
25302,"Swiss French"
28,"Swiss French"
8335,"Swiss French"
26747,"Swiss French"
35345,"Swiss French"
32146,"Swiss French"
10948,"Swiss French"
45832,"Swiss French"
35136,"Swiss French"
28140,"Swiss French"
32537,"Swiss French"
7616,"Swiss French"
41611,"Swiss French"
44835,"Swiss French"
42893,"Swiss French"
47870,"Swiss French"
19830,"Swiss French"
13889,"Swiss French"
28670,"Swiss French"
12738,"Swiss French"
46261,"Swiss French"
11720,"Swiss French"
3630,"Swiss French"
33291,"Swiss French"
25040,"Swiss French"
30539,"Swiss French"
36460,"Swiss French"
47802,"Swiss French"
4305,"Swiss French"
33631,"Swiss French"
25708,"Swiss French"
7637,"Swiss French"
22843,"Swiss French"
48535,"Swiss French"
41169,"Swiss French"
5096,"Swiss French"
7029,"Swiss French"
15904,"Swiss French"
29081,"Swiss French"
33946,"Swiss French"
18820,"Swiss French"
874,"Swiss French"
22554,"Swiss French"
32272,"Swiss French"
9454,"Swiss French"
5328,"Swiss French"
18031,"Swiss French"
22175,"Swiss French"
43846,"Swiss French"
40827,"Swiss French"
38740,"Swiss French"
37320,"Swiss French"
4189,"Swiss French"
37528,"Swiss French"
14139,"Swiss French"
7935,"Swiss French"
43818,"Swiss French"
31778,"Swiss French"
23185,"Swiss French"
26617,"Swiss French"
29241,"Swiss French"
28689,"Swiss French"
41946,"Swiss French"
16423,"Swiss French"
8269,"Swiss French"
45500,"Swiss French"
21050,"Swiss French"
12413,"Swiss French"
13125,"Swiss French"
16286,"Swiss French"
24375,"Swiss French"
34073,"Swiss French"
22237,"Swiss French"
12009,"Swiss French"
25286,"Swiss French"
7677,"Swiss French"
27353,"Swiss French"
26289,"Swiss French"
46117,"Swiss French"
8005,"Swiss French"
24161,"Swiss French"
9725,"Swiss French"
26764,"Swiss French"
37227,"Swiss French"
17720,"Swiss French"
4866,"Swiss French"
31623,"Swiss French"
20653,"Swiss French"
48113,"Swiss French"
37614,"Swiss French"
43693,"Swiss French"
9823,"Swiss French"
30265,"Swiss French"
49213,"Swiss French"
25244,"Swiss French"
10883,"Swiss French"
17860,"Swiss French"
33288,"Swiss French"
32498,"Swiss French"
34292,"Swiss French"
27958,"Swiss French"
32274,"Swiss French"
32097,"Swiss French"
2844,"Swiss French"
41761,"Swiss French"
2635,"Swiss French"
43071,"Swiss French"
3047,"Swiss French"
28518,"Swiss French"
21919,"Swiss French"
26037,"Swiss French"
8624,"Swiss French"
26519,"Swiss French"
648,"Swiss French"
27580,"Swiss French"
42293,"Swiss French"
49177,"Swiss French"
44638,"Swiss French"
32723,"Swiss French"
9934,"Swiss French"
13748,"Swiss French"
38964,"Swiss French"
29837,"Swiss French"
9423,"Swiss French"
26674,"Swiss French"
10493,"Swiss French"
41015,"Swiss French"
31368,"Swiss French"
23674,"Swiss French"
24191,"Swiss French"
5973,"Swiss French"
14379,"Swiss French"
5261,"Swiss French"
12775,"Swiss French"
11678,"Swiss French"
10562,"Swiss French"
9750,"Swiss French"
22955,"Swiss French"
27581,"Swiss French"
42095,"Swiss French"
23351,"Swiss French"
33955,"Swiss French"
14761,"Swiss French"
36705,"Swiss French"
28469,"Swiss French"
7775,"Swiss French"
36549,"Swiss French"
29317,"Swiss French"
11130,"Swiss French"
36311,"Swiss French"
9542,"Swiss French"
12256,"Swiss French"
25337,"Swiss French"
3647,"Swiss French"
34351,"Swiss French"
33854,"Swiss French"
27991,"Swiss French"
39699,"Swiss French"
31555,"Swiss French"
45428,"Swiss French"
32506,"Swiss French"
37162,"Swiss French"
10095,"Swiss French"
47173,"Swiss French"
25674,"Swiss French"
27098,"Swiss French"
23513,"Swiss French"
2869,"Swiss French"
44540,"Swiss French"
21091,"Swiss French"
48099,"Swiss French"
44769,"Swiss French"
43719,"Swiss French"
19439,"Swiss French"
36803,"Swiss French"
11163,"Swiss French"
46225,"Swiss French"
22988,"Swiss French"
37984,"Swiss French"
1625,"Swiss French"
22297,"Swiss French"
41645,"Swiss French"
32885,"Swiss French"
3364,"Swiss French"
27740,"Swiss French"
24957,"Swiss French"
31260,"Swiss French"
44553,"Swiss French"
8389,"Swiss French"
16291,"Swiss French"
3021,"Swiss French"
19317,"Swiss French"
27039,"Swiss French"
17184,"Swiss French"
22623,"Swiss French"
5638,"Swiss French"
770,"Swiss French"
8813,"Swiss French"
30159,"Swiss French"
38441,"Swiss French"
7985,"Swiss French"
48595,"Swiss French"
18911,"Swiss French"
11254,"Swiss French"
45245,"Swiss French"
47010,"Swiss French"
2625,"Swiss French"
42581,"Swiss French"
21944,"Swiss French"
45270,"Swiss French"
13277,"Swiss French"
35795,"Swiss French"
11835,"Swiss French"
16851,"Swiss French"
36326,"Swiss French"
30751,"Swiss French"
18800,"Swiss French"
39078,"Swiss French"
39798,"Swiss French"
30844,"Swiss French"
35101,"Swiss French"
44544,"Swiss French"
49261,"Swiss French"
19116,"Swiss French"
23116,"Swiss French"
26486,"Swiss French"
28817,"Swiss French"
6794,"Swiss French"
47245,"Swiss French"
40075,"Swiss French"
6937,"Swiss French"
26359,"Swiss French"
44537,"Swiss French"
6261,"Swiss French"
947,"Swiss French"
39861,"Swiss French"
15891,"Swiss French"
42526,"Swiss French"
34918,"Swiss French"
26418,"Swiss French"
4732,"Swiss French"
20271,"Swiss French"
1928,"Swiss French"
48181,"Swiss French"
21170,"Swiss French"
2724,"Swiss French"
12508,"Swiss French"
5109,"Swiss French"
2359,"Swiss French"
23820,"Swiss French"
45955,"Swiss French"
1371,"Swiss French"
33480,"Swiss French"
14825,"Swiss French"
48165,"Swiss French"
33442,"Swiss French"
26860,"Swiss French"
30768,"Swiss French"
37565,"Swiss French"
24782,"Swiss French"
330,"Swiss French"
26654,"Swiss French"
40959,"Swiss French"
17499,"Swiss French"
36844,"Swiss French"
11266,"Swiss French"
36951,"Swiss French"
47330,"Swiss French"
7539,"Swiss French"
33375,"Swiss French"
16075,"Swiss French"
9581,"Swiss French"
8810,"Swiss French"
32513,"Swiss French"
23981,"Swiss French"
14971,"Swiss French"
23427,"Swiss French"
920,"Swiss French"
25245,"Swiss French"
6212,"Swiss French"
21822,"Swiss French"
18330,"Swiss French"
46289,"Swiss French"
49215,"Swiss French"
40291,"Swiss French"
26934,"Swiss French"
39051,"Swiss French"
29037,"Swiss French"
10639,"Swiss French"
39923,"Swiss French"
16449,"Swiss French"
32835,"Swiss French"
8432,"Swiss French"
43030,"Swiss French"
28516,"Swiss French"
49227,"Swiss French"
40589,"Swiss French"
40763,"Swiss French"
43108,"Swiss French"
34232,"Swiss French"
18758,"Swiss French"
1014,"Swiss French"
16895,"Swiss French"
10224,"Swiss French"
32484,"Swiss French"
40849,"Swiss French"
37988,"Swiss French"
38466,"Swiss French"
15522,"Swiss French"
1744,"Swiss French"
47240,"Swiss French"
9533,"Swiss French"
10811,"Swiss French"
3331,"Swiss French"
42009,"Swiss French"
23887,"Swiss French"
22834,"Swiss French"
16727,"Swiss French"
2626,"Swiss French"
1288,"Swiss French"
15965,"Swiss French"
6139,"Swiss French"
15509,"Swiss French"
17538,"Swiss French"
33084,"Swiss French"
34780,"Swiss French"
47888,"Swiss French"
42518,"Swiss French"
33422,"Swiss French"
2938,"Swiss French"
14272,"Swiss French"
23909,"Swiss French"
7988,"Swiss French"
38461,"Swiss French"
35978,"Swiss French"
29986,"Swiss French"
1904,"Swiss French"
23195,"Swiss French"
34939,"Swiss French"
34978,"Swiss French"
15304,"Swiss French"
33777,"Swiss French"
49688,"Swiss French"
26568,"Swiss French"
25466,"Swiss French"
6054,"Swiss French"
17782,"Swiss French"
9728,"Swiss French"
38309,"Swiss French"
31646,"Swiss French"
36473,"Swiss French"
49910,"Swiss French"
8620,"Swiss French"
5206,"Swiss French"
32565,"Swiss French"
9963,"Swiss French"
1011,"Swiss French"
28349,"Swiss French"
3069,"Swiss French"
44195,"Swiss French"
40057,"Swiss French"
35063,"Swiss French"
16128,"Swiss French"
31415,"Swiss French"
45349,"Swiss French"
20563,"Swiss French"
5340,"Swiss French"
9713,"Swiss French"
29436,"Swiss French"
30495,"Swiss French"
25202,"Swiss French"
27203,"Swiss French"
49668,"Swiss French"
32653,"Swiss French"
40574,"Swiss French"
13043,"Swiss French"
31190,"Swiss French"
